record_id,call_failure,complains,subscription_length,charge_amount,seconds_of_use,frequency_of_use,frequency_of_sms,distinct_called_numbers,age_group,tariff_plan,status,age,customer_value,fn,fp,churn,complaint_label,tariff_label,status_label,churn_label,tenure_band,call_activity_band,sms_activity_band,retention_priority_score,retention_priority
2,0,0,39,0,318,5,7,4,2,1,2,25,46.035,41.4315,60,0,No complaint,Pay as you go,Non-active,Retained,37+ months,1–25 calls,1–25 SMS,7,High
17,0,0,37,0,875,14,0,11,2,1,2,25,40.005,36.0045,60,1,No complaint,Pay as you go,Non-active,Churned,37+ months,1–25 calls,No SMS,7,High
18,2,0,38,0,710,14,13,8,3,1,2,30,80.96,72.864,60,0,No complaint,Pay as you go,Non-active,Retained,37+ months,1–25 calls,1–25 SMS,7,High
19,0,0,37,0,0,0,0,0,2,1,2,25,0,0,60,1,No complaint,Pay as you go,Non-active,Churned,37+ months,No calls,No SMS,7,High
23,23,1,33,0,955,47,16,17,2,1,2,25,117.09,105.381,61.709,1,Complaint,Pay as you go,Non-active,Churned,25–36 months,26–75 calls,1–25 SMS,8,High
28,9,1,36,0,2268,44,34,31,3,1,2,30,228.48,205.632,72.848,1,Complaint,Pay as you go,Non-active,Churned,25–36 months,26–75 calls,26–100 SMS,7,High
29,0,0,36,0,133,2,0,2,3,1,2,30,5.4,4.86,60,1,No complaint,Pay as you go,Non-active,Churned,25–36 months,1–25 calls,No SMS,7,High
32,0,1,36,0,628,7,9,4,4,1,2,45,38.375,34.5375,60,1,Complaint,Pay as you go,Non-active,Churned,25–36 months,1–25 calls,1–25 SMS,10,High
41,11,0,27,0,700,25,10,7,2,1,2,25,77.625,69.8625,60,0,No complaint,Pay as you go,Non-active,Retained,25–36 months,1–25 calls,1–25 SMS,7,High
42,0,0,26,0,825,10,21,3,4,1,2,45,73.375,66.0375,60,1,No complaint,Pay as you go,Non-active,Churned,25–36 months,1–25 calls,1–25 SMS,7,High
69,3,1,39,1,60,3,5,2,2,1,1,25,25.335,22.8015,60,1,Complaint,Pay as you go,Active,Churned,37+ months,1–25 calls,1–25 SMS,7,High
100,6,1,11,2,1548,22,5,9,3,1,1,30,82.8,74.52,60,1,Complaint,Pay as you go,Active,Churned,0–12 months,1–25 calls,1–25 SMS,8,High
102,0,0,37,0,258,2,2,2,2,1,2,25,20.7,18.63,60,0,No complaint,Pay as you go,Non-active,Retained,37+ months,1–25 calls,1–25 SMS,7,High
